Drug A,Drug B
DB08621,DB01418
DB08621,DB06742
DB08633,DB00630
DB08633,DB06742
DB08633,DB09009
DB08633,DB01086
DB08633,DB06770
DB08735,DB04070
DB08735,DB11703
DB08735,DB00316
DB08735,DB00819
DB08735,DB15568
DB08736,DB04070
DB08736,DB11703
DB08736,DB00316
DB08736,DB00819
DB08736,DB15568
DB08783,DB06210
DB08794,DB14093
DB08794,DB08496
DB08794,DB14055
DB08794,DB01481
DB08794,DB01543
DB08795,DB08496
DB08795,DB14055
DB08795,DB03410
DB08795,DB13783
DB08795,DB01418
DB08797,DB08496
DB08797,DB14055
DB08797,DB04581
DB08797,DB01467
DB08797,DB13940
DB08798,DB08496
DB08798,DB14055
DB08798,DB11898
DB08798,DB14973
DB08798,DB00284
DB08799,DB01467
DB08799,DB13940
DB08799,DB01484
DB08799,DB12565
DB08799,DB01615
DB08800,DB01467
DB08800,DB13940
DB08800,DB01484
DB08800,DB00182
DB08800,DB00865
DB08801,DB02365
DB08801,DB01467
DB08801,DB13940
DB08801,DB01484
DB08801,DB01472
DB08802,DB01467
DB08802,DB13940
DB08802,DB01484
DB08802,DB00182
DB08802,DB00865
DB08803,DB00935
DB08804,DB08496
DB08804,DB14055
DB08804,DB11898
DB08804,DB03410
DB08804,DB00284
DB08805,DB01467
DB08805,DB13940
DB08805,DB01484
DB08805,DB06395
DB08805,DB12073
DB08806,DB01467
DB08806,DB13940
DB08806,DB01484
DB08806,DB06395
DB08806,DB12073
DB08807,DB01562
DB08807,DB02365
DB08807,DB11898
DB08807,DB01467
DB08807,DB13940
DB08808,DB01562
DB08808,DB04581
DB08808,DB02365
DB08808,DB11898
DB08808,DB01467
DB08810,DB08496
DB08810,DB14055
DB08810,DB04581
DB08810,DB12537
DB08810,DB01467
DB08811,DB08496
DB08811,DB14055
DB08811,DB12537
DB08811,DB13940
DB08811,DB01484
DB08813,DB14093
DB08813,DB08496
DB08813,DB14055
DB08813,DB01481
DB08813,DB01543
DB08814,DB14093
DB08814,DB08496
DB08814,DB14055
DB08814,DB01481
DB08814,DB01543
DB08815,DB08496
DB08815,DB14055
DB08815,DB04581
DB08815,DB12537
DB08815,DB11898
DB08816,DB14093
